,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
4080,UZ Fornacis b,782,6.3 Jupiters,16.694,2011,Gas Giant,6.3 Jupiters,Unknown,5.9 AU,16 years,0.04,UZ For,Eclipse Timing Variations,,,,,0,,,,14-05-2014,Multiple Observatories
4081,UZ Fornacis c,782,7.7 Jupiters,16.694,2011,Gas Giant,7.7 Jupiters,Unknown,2.8 AU,5.3 years,0.05,UZ For,Eclipse Timing Variations,,,,,0,,,,14-05-2014,Multiple Observatories
4082,V0391 Pegasi b,4567,3.2 Jupiters,14.57,2007,Gas Giant,3.2 Jupiters,1.17 x Jupiter,1.7 AU,3.2 years,0,V0391 Peg,Pulsation Timing Variations,,500,-500,0.05,0,0.23,0.03,-0.03,14-05-2015,Multiple Observatories
4083,V1298 Tauri b,354,0.236 Jupiters,10.116,2019,Gas Giant,0.236 Jupiters,0.916 x Jupiter,0.1688 AU,24.1 days,< 0.29,V1298 Tau,Transit,,,,0.05,0,1.34,0.06,-0.05,24-10-2019,K2
4084,V1298 Tauri c,354,26.7 Earths,10.116,2019,Neptune-like,26.7 Earths,0.499 x Jupiter,0.0825 AU,8.2 days,< 0.43,V1298 Tau,Transit,,,,0.05,0,1.34,0.06,-0.05,24-10-2019,K2
4085,V1298 Tauri d,354,33.6 Earths,10.116,2019,Neptune-like,33.6 Earths,0.572 x Jupiter,0.1083 AU,12.4 days,< 0.21,V1298 Tau,Transit,,,,0.05,0,1.34,0.06,-0.05,24-10-2019,K2
4086,V1298 Tauri e,354,0.179 Jupiters,10.116,2019,Gas Giant,0.179 Jupiters,0.78 x Jupiter,0.308 AU,60 days,< 0.57,V1298 Tau,Transit,,,,0.05,0,1.34,0.06,-0.05,24-10-2019,K2
4087,V830 Tauri b,489,0.7 Jupiters,12.377,2016,Gas Giant,0.7 Jupiters,1.25 x Jupiter,0.057 AU,4.9 days,0,V830 Tau,Radial Velocity,,50,-50,0.05,0,2,0.2,-0.2,01-12-2016,Multiple Observatories
4088,VHS J125601.92-125723.9 b,41,11.2 Jupiters,17.759,2015,Gas Giant,11.2 Jupiters,1.11 x Jupiter,102.0 AU,3895.8 years,0,VHS J125601.92-125723.9,Imaging,,140,-140,0.02,0,,,,14-05-2015,Paranal Observatory
4089,WASP-100 b,1201,1.26 Jupiters,10.615,2014,Gas Giant,1.26 Jupiters,1.33 x Jupiter,0.04574 AU,2.8 days,0,WASP-1,Transit,-0.032,,,0.05,0,1.47,0.02,-0.03,14-05-2014,SuperWASP
4090,WASP-101 b,660,0.51 Jupiters,10.138,2014,Gas Giant,0.51 Jupiters,1.43 x Jupiter,0.05057 AU,3.6 days,0,WASP-10,Transit,-0.27,100,,0.04,0,0.7,0.01,,14-05-2014,SuperWASP
4091,WASP-103 b,1533,1.49 Jupiters,12.1,2014,Gas Giant,1.49 Jupiters,1.528 x Jupiter,0.01985 AU,0.9 days,< 0.15,WASP-100,Transit,,120,-120,0.42,0,1.57,0.16,-0.16,26-04-2018,SuperWASP
4092,WASP-104 b,466,1.272 Jupiters,11.12,2014,Gas Giant,1.272 Jupiters,1.137 x Jupiter,0.02918 AU,1.8 days,0,WASP-101,Transit,,120,-120,0.3,0,1.31,0.08,-0.08,26-04-2018,SuperWASP
4093,WASP-105 b,824,1.8 Jupiters,12.1,2017,Gas Giant,1.8 Jupiters,0.96 x Jupiter,0.075 AU,7.9 days,0,WASP-103,Transit,-0.07,160,-160,0.04,0,1.44,0.05,-0.03,14-05-2014,SuperWASP
4094,WASP-106 b,1160,1.62 Jupiters,11.21,2014,Gas Giant,1.62 Jupiters,1.02 x Jupiter,0.0917 AU,9.3 days,0,WASP-104,Transit,-0.088,127,-127,0.05,0,0.96,0.03,-0.03,25-09-2014,SuperWASP
4095,WASP-107 b,212,38.1396 Earths,11.471,2017,Gas Giant,38.1396 Earths,0.94 x Jupiter,0.055 AU,5.7 days,0,WASP-105,Transit,-0.13,130,-130,0.09,0,0.9,0.03,-0.03,17-08-2017,SuperWASP-South
4096,WASP-10 b,462,3.15 Jupiters,12.7,2008,Gas Giant,3.15 Jupiters,1.08 x Jupiter,0.03781 AU,3.1 days,0.05,WASP-106,Transit,,136,-136,0.8,0,1.31,0.38,-0.38,26-04-2018,SuperWASP
4097,WASP-113 b,1174,0.475 Jupiters,11.771,2016,Gas Giant,0.475 Jupiters,1.409 x Jupiter,0.05885 AU,4.5 days,0,WASP-107,Transit,-0.03,120,-120,0.05,0,0.66,0.02,-0.02,17-08-2017,SuperWASP-South
4098,WASP-114 b,1501,1.769 Jupiters,12.743,2016,Gas Giant,1.769 Jupiters,1.339 x Jupiter,0.02851 AU,1.5 days,0.01,WASP-11,Transit,,100,-100,0.43,0,0.89,0.08,-0.08,26-04-2018,SuperWASP
4099,WASP-117 b,518,0.3 Jupiters,10.15,2014,Gas Giant,0.3 Jupiters,1.06 x Jupiter,0.09459 AU,10 days,0.3,WASP-113,Transit,-0.045,140,-140,0.07,0,1.61,0.09,-0.12,18-07-2016,SuperWASP-North
4100,WASP-118 b,1241,0.514 Jupiters,11.02,2016,Gas Giant,0.514 Jupiters,1.44 x Jupiter,0.05453 AU,4 days,0,WASP-114,Transit,-0.13,140,-140,0.05,0,1.43,0.06,-0.06,18-07-2016,SuperWASP-North
4101,WASP-119 b,1086,1.23 Jupiters,12.2,2016,Gas Giant,1.23 Jupiters,1.4 x Jupiter,0.0363 AU,2.5 days,< 0.058,WASP-117,Transit,,90,-90,0.3,0,1.22,0.06,-0.06,26-04-2018,SuperWASP
4102,WASP-11 b,408,0.79 Jupiters,11.6,2008,Gas Giant,0.79 Jupiters,1.11 x Jupiter,0.0435 AU,3.7 days,0,WASP-118,Transit,-0.024,125,-125,0.04,0,1.7,0.03,-0.03,08-09-2016,SuperWASP
4103,WASP-120 b,1425,4.85 Jupiters,11,2016,Gas Giant,4.85 Jupiters,1.473 x Jupiter,0.0514 AU,3.6 days,0.06,WASP-119,Transit,-0.3,100,-100,0.06,0,1.2,0.1,-0.1,05-05-2016,SuperWASP-South
4104,WASP-121 b,881,1.183 Jupiters,10.44,2016,Gas Giant,1.183 Jupiters,1.865 x Jupiter,0.02544 AU,1.3 days,0,WASP-12,Transit,-0.0288,140,-140,0.11,0,1.66,0.05,-0.05,11-07-2019,SuperWASP
4105,WASP-123 b,698,0.899 Jupiters,11.1,2016,Gas Giant,0.899 Jupiters,1.318 x Jupiter,0.04263 AU,3 days,0,WASP-120,Transit,-0.34,120,-120,0.06,0,1.87,0.11,-0.11,03-06-2016,SuperWASP
4106,WASP-124 b,1412,0.6 Jupiters,12.7,2016,Gas Giant,0.6 Jupiters,1.24 x Jupiter,0.0449 AU,3.4 days,< 0.017,WASP-121,Transit,-0.021,140,-140,0.08,0,1.46,0.03,-0.03,23-06-2016,SuperWASP
4107,WASP-126 b,763,0.28411 Jupiters,10.8,2016,Gas Giant,0.28411 Jupiters,0.96 x Jupiter,0.0449 AU,3.3 days,< 0.18,WASP-123,Transit,-0.074,130,-130,0.06,0,1.28,0.05,-0.05,03-06-2016,SuperWASP
4108,WASP-126 c,763,0.20199 Jupiters,10.8,2019,Gas Giant,0.20199 Jupiters,0.837 x Jupiter,Unknown,7.6 days,< 0.05,WASP-124,Transit,-0.05,100,-100,0.05,0,1.02,0.02,-0.02,05-05-2016,SuperWASP-South
4109,WASP-127 b,333,0.18 Jupiters,10.15,2016,Gas Giant,0.18 Jupiters,1.37 x Jupiter,0.052 AU,4.2 days,0,WASP-126,Transit,,,,,0,1.27,,,05-12-2019,SuperWASP-South
4110,WASP-129 b,802,1 Jupiter,12.3,2016,Gas Giant,1 Jupiter,0.93 x Jupiter,0.0628 AU,5.7 days,< 0.096,WASP-126,Transit Timing Variations,,,,,0,1.27,,,05-12-2019,Transiting Exoplanet Survey Satellite (TESS)
4111,WASP-12 b,1411,1.465 Jupiters,11.69,2008,Gas Giant,1.465 Jupiters,1.937 x Jupiter,0.0232 AU,1.1 days,0.04,WASP-127,Transit,-0.013,85,-85,0.03,0,1.39,0.03,-0.03,01-12-2016,SuperWASP
4112,WASP-130 b,587,1.23 Jupiters,11.1,2016,Gas Giant,1.23 Jupiters,0.89 x Jupiter,0.1012 AU,11.6 days,0,WASP-129,Transit,-0.3,100,-100,0.03,0,0.9,0.02,-0.02,05-05-2016,SuperWASP-South
4113,WASP-131 b,816,0.27 Jupiters,10.1,2016,Gas Giant,0.27 Jupiters,1.22 x Jupiter,0.0607 AU,5.3 days,0,WASP-13,Transit,,70,-70,0.25,0,1.37,0.15,-0.15,26-04-2018,SuperWASP
4114,WASP-132 b,391,0.41 Jupiters,12.4,2016,Gas Giant,0.41 Jupiters,0.87 x Jupiter,0.067 AU,7.1 days,0,WASP-130,Transit,-0.24,90,-90,0.04,0,0.96,0.03,-0.03,01-12-2016,SuperWASP-South
4115,WASP-133 b,1784,1.16 Jupiters,12.9,2016,Gas Giant,1.16 Jupiters,1.21 x Jupiter,0.0345 AU,2.2 days,< 0.17,WASP-131,Transit,-0.03,90,-90,0.06,0,1.53,0.05,-0.05,01-12-2016,SuperWASP-South
4116,WASP-135 b,979,1.9 Jupiters,13.28,2015,Gas Giant,1.9 Jupiters,1.3 x Jupiter,0.0243 AU,1.4 days,0,WASP-132,Transit,-0.08,100,-100,0.04,0,0.74,0.02,-0.02,01-12-2016,SuperWASP-South
4117,WASP-136 b,535,1.51 Jupiters,9.98,2016,Gas Giant,1.51 Jupiters,1.38 x Jupiter,0.0661 AU,5.2 days,0,WASP-133,Transit,-0.09,100,-100,0.08,0,1.44,0.05,-0.05,05-05-2016,SuperWASP-South
4118,WASP-138 b,1005,1.22 Jupiters,11.81,2016,Gas Giant,1.22 Jupiters,1.09 x Jupiter,0.0494 AU,3.6 days,0,WASP-135,Transit,-0.23,60,-60,0.06,0,0.96,0.05,-0.05,03-12-2015,SuperWASP
4119,WASP-139 b,750,37.18611 Earths,12.4,2016,Neptune-like,37.18611 Earths,0.8 x Jupiter,0.062 AU,5.9 days,0,WASP-136,Transit,-0.197,100,-100,0.07,0,2.21,0.22,-0.22,01-12-2016,SuperWASP
4120,WASP-13 b,747,0.36 Jupiters,10.42,2009,Gas Giant,0.36 Jupiters,1.22 x Jupiter,0.05362 AU,4.4 days,0,WASP-138,Transit,-0.194,96,-96,0.05,0,1.36,0.05,-0.05,01-12-2016,SuperWASP
4121,WASP-140 b,587,2.44 Jupiters,11.1,2016,Gas Giant,2.44 Jupiters,1.44 x Jupiter,0.0323 AU,2.2 days,0.05,WASP-139,Transit,-0.05,90,-90,0.1,0,0.8,0.04,-0.04,01-12-2016,SuperWASP-South
4122,WASP-141 b,1859,2.69 Jupiters,12.4,2016,Gas Giant,2.69 Jupiters,1.21 x Jupiter,0.0469 AU,3.3 days,0,WASP-14,Transit,,100,-100,0.39,0,1.4,0.08,-0.08,26-04-2018,SuperWASP
4123,WASP-142 b,2740,0.84 Jupiters,12.3,2016,Gas Giant,0.84 Jupiters,1.53 x Jupiter,0.0347 AU,2.1 days,0,WASP-140,Transit,-0.5,100,-100,0.04,0,0.87,0.04,-0.04,01-12-2016,SuperWASP-South
4124,WASP-144 b,1170,0.44 Jupiters,12.915,2018,Gas Giant,0.44 Jupiters,0.85 x Jupiter,0.0316 AU,2.3 days,0,WASP-141,Transit,-0.33,120,-120,0.06,0,1.37,0.07,-0.07,01-12-2016,SuperWASP-South
4125,WASP-145 A b,299,0.89 Jupiters,11.358,2018,Gas Giant,0.89 Jupiters,0.9 x Jupiter,0.0261 AU,1.8 days,0,WASP-142,Transit,-0.07,140,-140,0.08,0,1.64,0.08,-0.08,01-12-2016,SuperWASP-South
4126,WASP-147 b,1390,0.275 Jupiters,12.183,2018,Gas Giant,0.275 Jupiters,1.115 x Jupiter,0.0549 AU,4.6 days,0,WASP-144,Transit,-0.2,140,-140,0.04,0,0.81,0.04,-0.04,26-10-2018,SuperWASP-South
4127,WASP-148 b,809,0.291 Jupiters,12.247,2020,Gas Giant,0.291 Jupiters,0.722 x Jupiter,0.0845 AU,8.8 days,0.22,WASP-145 A,Transit,-1.3,150,-150,0.04,0,0.68,0.07,-0.07,26-10-2018,SuperWASP-South
4128,WASP-148 c,809,0.4 Jupiters,12.247,2020,Gas Giant,0.4 Jupiters,1.25 x Jupiter,0.2101 AU,34.5 days,0.36,WASP-147,Transit,-0.08,100,-100,0.07,0,1.43,0.14,-0.08,01-11-2018,SuperWASP-South
4129,WASP-14 b,531,8.84 Jupiters,9.75,2008,Gas Giant,8.84 Jupiters,1.38 x Jupiter,0.037 AU,2.2 days,0.09,WASP-148,Transit,-0.26,130,-130,0.08,0,1.03,0.2,-0.2,09-07-2020,SuperWASP-North
4130,WASP-150 b,1749,8.46 Jupiters,12.03,2020,Gas Giant,8.46 Jupiters,1.07 x Jupiter,0.0694 AU,5.6 days,0.38,WASP-148,Radial Velocity,,130,-130,0.08,0,1.03,0.2,-0.2,09-07-2020,Haute-Provence Observatory
4131,WASP-151 b,1497,0.31 Jupiters,12.795,2017,Gas Giant,0.31 Jupiters,1.13 x Jupiter,0.055 AU,4.5 days,< 0.003,WASP-15,Transit,,100,-100,0.93,0,1.48,0.38,-0.38,26-04-2018,SuperWASP
4132,WASP-153 b,1403,0.39 Jupiters,12.8,2017,Gas Giant,0.39 Jupiters,1.55 x Jupiter,0.048 AU,3.3 days,< 0.009,WASP-150,Transit,-0.62,49,-45,0.07,0,1.65,0.02,-0.03,21-05-2020,SuperWASP-North
4133,WASP-156 b,457,0.128 Jupiters,11.6,2017,Gas Giant,0.128 Jupiters,0.51 x Jupiter,0.0453 AU,3.8 days,< 0.007,WASP-151,Transit,-0.03,57,-57,0.08,0,1.14,0.03,-0.03,26-10-2017,SuperWASP-South
4134,WASP-157 b,1102,0.574 Jupiters,12.91,2016,Gas Giant,0.574 Jupiters,0.998 x Jupiter,0.0499 AU,4 days,0,WASP-153,Transit,-0.03,64,-64,0.09,0,1.73,0.1,-0.09,26-10-2017,SuperWASP
4135,WASP-158 b,1738,2.79 Jupiters,12.091,2018,Gas Giant,2.79 Jupiters,1.07 x Jupiter,0.0517 AU,3.7 days,0,WASP-156,Transit,-0.1,61,-61,0.05,0,0.76,0.03,-0.03,26-10-2017,SuperWASP
4136,WASP-159 b,2383,0.55 Jupiters,12.295,2018,Gas Giant,0.55 Jupiters,1.38 x Jupiter,0.0538 AU,3.8 days,0,WASP-157,Transit,,86,-86,0.04,0,1.1,0.03,-0.03,26-10-2018,SuperWASP
4137,WASP-15 b,928,0.54 Jupiters,11,2009,Gas Giant,0.54 Jupiters,1.41 x Jupiter,0.05165 AU,3.8 days,0,WASP-158,Transit,-1,150,-150,0.14,0,1.39,0.18,-0.18,26-10-2018,SuperWASP-South
4138,WASP-160 B b,926,0.278 Jupiters,12.884,2018,Gas Giant,0.278 Jupiters,1.09 x Jupiter,0.0452 AU,3.8 days,0,WASP-159,Transit,-0.05,140,-140,0.12,0,2.11,0.1,-0.1,26-10-2018,SuperWASP-South
4139,WASP-161 b,1130,2.49 Jupiters,10.899,2018,Gas Giant,2.49 Jupiters,1.143 x Jupiter,0.0673 AU,5.4 days,0,WASP-16,Transit,,150,-150,0.54,0,1.14,0.09,-0.09,26-04-2018,SuperWASP
4140,WASP-162 b,1023,5.2 Jupiters,12.065,2018,Gas Giant,5.2 Jupiters,1.0 x Jupiter,0.0871 AU,9.6 days,0.43,WASP-160 B,Transit,-0.051,99,-99,0.07,0,0.87,0.03,-0.03,01-11-2018,SuperWASP-South
4141,WASP-163 b,859,1.87 Jupiters,12.251,2018,Gas Giant,1.87 Jupiters,1.202 x Jupiter,0.0266 AU,1.6 days,0,WASP-161,Transit,-0.29,100,-100,0.14,0,1.71,0.08,-0.07,13-12-2018,SuperWASP-South
4142,WASP-164 b,1050,2.13 Jupiters,12.468,2018,Gas Giant,2.13 Jupiters,1.128 x Jupiter,0.02818 AU,1.8 days,0,WASP-162,Transit,-0.8,100,-100,0.04,0,1.11,0.05,-0.05,26-10-2018,SuperWASP-South
4143,WASP-165 b,1902,0.658 Jupiters,12.543,2018,Gas Giant,0.658 Jupiters,1.26 x Jupiter,0.04823 AU,3.5 days,0,WASP-163,Transit,-0.23,200,-200,0.15,0,1.01,0.07,-0.07,13-12-2018,SuperWASP-South
4144,WASP-166 b,369,32.10083 Earths,9.257,2019,Neptune-like,32.10083 Earths,0.63 x Jupiter,0.0641 AU,5.4 days,0,WASP-164,Transit,-0.17,190,-200,0.07,0,0.93,0.03,-0.03,01-11-2018,SuperWASP-South
4145,WASP-167 b,1243,8 Jupiters,10.579,2017,Gas Giant,8 Jupiters,1.58 x Jupiter,0.0365 AU,2 days,0,WASP-165,Transit,-0.15,150,-150,0.07,0,1.75,0.18,-0.18,01-11-2018,SuperWASP-South
4146,WASP-168 b,1000,0.42 Jupiters,11.714,2018,Gas Giant,0.42 Jupiters,1.5 x Jupiter,0.0519 AU,4.2 days,0,WASP-166,Transit,-0.09,50,-50,0.06,0,1.22,0.06,-0.06,25-07-2019,WASP-South
4147,WASP-169 b,2082,0.561 Jupiters,11.721,2019,Gas Giant,0.561 Jupiters,1.304 x Jupiter,0.0681 AU,5.6 days,0,WASP-167,Transit,,250,-250,0.08,0,1.79,0.05,-0.05,27-07-2017,Multiple Observatories
4148,WASP-16 b,637,1.24 Jupiters,11.125,2009,Gas Giant,1.24 Jupiters,1.22 x Jupiter,0.0415 AU,3.1 days,0,WASP-168,Transit,-0.09,100,-100,0.05,0,1.12,0.06,-0.06,26-10-2018,SuperWASP-South
4149,WASP-170 b,1006,1.6 Jupiters,12.469,2018,Gas Giant,1.6 Jupiters,1.096 x Jupiter,0.0337 AU,2.3 days,0,WASP-169,Transit,-0.094,101,-101,0.08,0,2.01,0.19,-0.09,12-09-2019,WASP-South
4150,WASP-171 b,2526,1.084 Jupiters,12.441,2019,Gas Giant,1.084 Jupiters,0.98 x Jupiter,0.0504 AU,3.8 days,0,WASP-17,Transit,,100,-100,0.99,0,1.49,0.19,-0.19,26-04-2018,SuperWASP
4151,WASP-172 b,1781,0.47 Jupiters,11.01,2018,Gas Giant,0.47 Jupiters,1.57 x Jupiter,0.0694 AU,5.5 days,0,WASP-170,Transit,-0.25,150,-150,0.15,0,0.94,0.06,-0.06,13-12-2018,SuperWASP-South
4152,WASP-173 A b,765,3.69 Jupiters,11.102,2018,Gas Giant,3.69 Jupiters,1.2 x Jupiter,0.0248 AU,1.4 days,0,WASP-171,Transit,-0.29,100,-100,0.06,0,1.64,0.09,-0.05,12-09-2019,WASP-South
4153,WASP-174 b,1353,1.3 Jupiters,11.683,2018,Gas Giant,1.3 Jupiters,1.3 x Jupiter,0.0559 AU,4.2 days,0,WASP-172,Transit,-0.05,140,-140,0.07,0,1.91,0.1,-0.1,26-10-2018,SuperWASP-South
4154,WASP-175 b,2082,0.99 Jupiters,11.721,2019,Gas Giant,0.99 Jupiters,1.208 x Jupiter,0.04403 AU,3.1 days,0,WASP-173 A,Transit,-0.37,140,-140,0.08,0,1.11,0.05,-0.05,26-10-2018,SuperWASP-South
4155,WASP-176 b,1884,0.855 Jupiters,12.01,2020,Gas Giant,0.855 Jupiters,1.505 x Jupiter,0.0535 AU,3.9 days,0,WASP-174,Transit,,100,-100,0.06,0,1.31,0.08,-0.08,23-08-2018,SuperWASP-South
4156,WASP-177 b,581,0.508 Jupiters,12.58,2019,Gas Giant,0.508 Jupiters,1.58 x Jupiter,0.03957 AU,3.1 days,0,WASP-175,Transit,-0.15,100,-100,0.04,0,1.2,0.06,-0.06,12-09-2019,WASP-South
4157,WASP-178 b,1364,1.66 Jupiters,9.912,2019,Gas Giant,1.66 Jupiters,1.81 x Jupiter,0.0558 AU,3.3 days,0,WASP-176,Transit,-0.042,77,-79,0.08,0,1.93,0.05,-0.04,21-05-2020,SuperWASP-North
4158,WASP-17 b,1339,0.78 Jupiters,11.6,2009,Gas Giant,0.78 Jupiters,1.87 x Jupiter,0.0515 AU,3.7 days,0,WASP-177,Transit,-0.11,70,-70,0.04,0,0.89,0.05,-0.05,18-04-2019,SuperWASP
4159,WASP-180 A b,834,0.9 Jupiters,10.682,2019,Gas Giant,0.9 Jupiters,1.24 x Jupiter,0.048 AU,3.4 days,0,WASP-178,Transit,-0.07,150,-150,0.11,0,1.67,0.07,-0.07,10-10-2019,WASP-South
4160,WASP-181 b,1445,0.299 Jupiters,12.91,2019,Gas Giant,0.299 Jupiters,1.184 x Jupiter,0.05427 AU,4.5 days,0,WASP-18,Transit,,,,,0,1.23,,,05-12-2019,SuperWASP
4161,WASP-182 b,1079,0.148 Jupiters,11.917,2019,Gas Giant,0.148 Jupiters,0.85 x Jupiter,0.0451 AU,3.4 days,0,WASP-18,Transit Timing Variations,,,,,0,1.23,,,05-12-2019,Transiting Exoplanet Survey Satellite (TESS)
4162,WASP-183 b,1070,0.502 Jupiters,12.76,2019,Gas Giant,0.502 Jupiters,1.47 x Jupiter,0.04632 AU,4.1 days,0,WASP-180 A,Transit,-0.07,200,-200,0.1,0,1.19,0.06,-0.06,26-09-2019,SuperWASP
4163,WASP-184 b,2088,0.57 Jupiters,12.567,2019,Gas Giant,0.57 Jupiters,1.33 x Jupiter,0.0627 AU,5.2 days,0,WASP-181,Transit,-0.044,70,-70,0.04,0,0.96,0.04,-0.04,18-04-2019,SuperWASP
4164,WASP-185 b,897,0.98 Jupiters,10.895,2019,Gas Giant,0.98 Jupiters,1.25 x Jupiter,0.0904 AU,9.4 days,0.24,WASP-182,Transit,-0.058,100,-100,0.06,0,1.34,0.03,-0.03,12-09-2019,WASP-South
4165,WASP-18 b,404,10.42954 Jupiters,9.303,2009,Gas Giant,10.42954 Jupiters,1.191 x Jupiter,0.02 AU,0.9 days,0.01,WASP-183,Transit,-0.16,72,-72,0.04,0,0.87,0.04,-0.04,18-04-2019,SuperWASP
4166,WASP-18 c,404,0.17368 Jupiters,9.303,2019,Gas Giant,0.17368 Jupiters,0.765 x Jupiter,0.035 AU,2.2 days,< 0.015,WASP-184,Transit,-0.09,100,-100,0.07,0,1.65,0.09,-0.09,10-10-2019,WASP-South
4167,WASP-190 b,1797,1 Jupiter,11.633,2019,Gas Giant,1 Jupiter,1.15 x Jupiter,0.0663 AU,5.4 days,0,WASP-185,Transit,-0.16,100,-100,0.06,0,1.5,0.08,-0.08,10-10-2019,WASP-South
4168,WASP-192 b,1615,2.3 Jupiters,12.535,2019,Gas Giant,2.3 Jupiters,1.23 x Jupiter,0.0408 AU,2.9 days,0,WASP-19,Transit,-0.046,71,-71,0.04,0,1,0.02,-0.02,18-08-2016,SuperWASP
4169,WASP-19 b,882,1.069 Jupiters,12.59,2009,Gas Giant,1.069 Jupiters,1.392 x Jupiter,0.01634 AU,0.8 days,0,WASP-190,Transit,,100,-100,0.05,0,1.6,0.1,-0.1,05-03-2019,WASP-South
4170,WASP-1 b,1296,0.854 Jupiters,11.79,2007,Gas Giant,0.854 Jupiters,1.483 x Jupiter,0.03889 AU,2.5 days,0,WASP-192,Transit,-0.41,145,-145,0.06,0,1.32,0.07,-0.07,10-10-2019,WASP-South
4171,WASP-20 b,685,0.311 Jupiters,10.68,2015,Gas Giant,0.311 Jupiters,1.462 x Jupiter,0.06 AU,4.9 days,0,WASP-2,Transit,-0.071,190,-190,0.08,0,0.87,0.03,-0.03,26-09-2019,SuperWASP
4172,WASP-21 b,849,0.3 Jupiters,11.58,2010,Gas Giant,0.3 Jupiters,1.07 x Jupiter,0.052 AU,4.3 days,0,WASP-20,Transit,-0.016,100,-100,0.04,0,1.39,0.04,-0.04,05-03-2015,SuperWASP
4173,WASP-22 b,1045,0.67 Jupiters,12,2010,Gas Giant,0.67 Jupiters,1.23 x Jupiter,0.047 AU,3.5 days,0.02,WASP-21,Transit,-0.07,100,-100,0.08,0,1.14,0.05,-0.05,14-05-2014,SuperWASP
4174,WASP-23 b,681,0.884 Jupiters,12.321,2010,Gas Giant,0.884 Jupiters,0.962 x Jupiter,0.0376 AU,2.9 days,< 0.062,WASP-22,Transit,,100,-100,0.63,0,1.24,0.13,-0.13,26-04-2018,SuperWASP
4175,WASP-24 b,1060,1.24 Jupiters,11.306,2010,Gas Giant,1.24 Jupiters,1.38 x Jupiter,0.03651 AU,2.3 days,0,WASP-23,Transit,,100,,0.13,0,0.77,0.05,,14-05-2014,SuperWASP
4176,WASP-25 b,694,0.44 Jupiters,11.88,2010,Gas Giant,0.44 Jupiters,1.07 x Jupiter,0.0473 AU,3.8 days,0,WASP-24,Transit,,100,-100,0.5,0,1.42,0.16,-0.16,26-04-2018,SuperWASP
4177,WASP-26 b,830,0.85 Jupiters,10.994,2010,Gas Giant,0.85 Jupiters,1.21 x Jupiter,0.03985 AU,2.8 days,0,WASP-25,Transit,,100,-100,0.22,0,0.8,0.08,-0.08,26-04-2018,SuperWASP
4178,WASP-28 b,1337,0.907 Jupiters,12.03,2014,Gas Giant,0.907 Jupiters,1.213 x Jupiter,0.04469 AU,3.4 days,0,WASP-26,Transit,,31,-31,0.34,0,1.22,0.15,-0.15,26-04-2018,SuperWASP
4179,WASP-29 b,286,0.23 Jupiters,10.893,2010,Gas Giant,0.23 Jupiters,0.77 x Jupiter,0.0457 AU,3.9 days,0.03,WASP-28,Transit,-0.063,140,-140,0.05,0,1.09,0.03,-0.03,05-03-2015,SuperWASP
4180,WASP-2 b,502,0.931 Jupiters,11.88,2007,Gas Giant,0.931 Jupiters,1.081 x Jupiter,0.03144 AU,2.2 days,0.01,WASP-29,Transit,,150,-150,0.25,0,0.79,0.07,-0.07,26-04-2018,SuperWASP
4181,WASP-31 b,1174,0.478 Jupiters,11.7,2010,Gas Giant,0.478 Jupiters,1.549 x Jupiter,0.04659 AU,3.4 days,0,WASP-3,Transit,,100,-100,0.53,0,1.44,0.12,-0.12,04-04-2019,SuperWASP
4182,WASP-32 b,907,2.63 Jupiters,11.3,2010,Gas Giant,2.63 Jupiters,0.96 x Jupiter,0.0394 AU,2.7 days,0,WASP-31,Transit,-0.019,102,,0.03,0,1.25,0.03,,14-05-2014,SuperWASP
4183,WASP-33 b,399,2.093 Jupiters,8.142,2010,Gas Giant,2.093 Jupiters,1.593 x Jupiter,0.0239 AU,1.2 days,0,WASP-32,Transit,,95,-95,0.34,0,0.95,0.15,-0.15,26-04-2018,SuperWASP
4184,WASP-34 b,433,0.56 Jupiters,10.4,2010,Gas Giant,0.56 Jupiters,1.0 x Jupiter,0.0524 AU,4.3 days,0.04,WASP-33,Transit,-0.074,100,-100,0.03,0,1.44,0.03,-0.03,11-07-2019,SuperWASP
4185,WASP-35 b,663,0.71 Jupiters,11.01,2011,Gas Giant,0.71 Jupiters,1.3 x Jupiter,0.04317 AU,3.2 days,0,WASP-34,Transit,,100,-100,0.45,0,0.91,0.08,-0.08,26-04-2018,SuperWASP
4186,WASP-36 b,1274,2.361 Jupiters,12.628,2011,Gas Giant,2.361 Jupiters,1.327 x Jupiter,0.02677 AU,1.5 days,< 0.019,WASP-35,Transit,,80,-80,0.19,0,1.08,0.06,-0.06,26-04-2018,SuperWASP
4187,WASP-37 b,1119,1.8 Jupiters,12.704,2010,Gas Giant,1.8 Jupiters,1.16 x Jupiter,0.0446 AU,3.6 days,0,WASP-36,Transit,-0.06,134,-134,0.03,0,0.98,0.01,-0.01,07-04-2016,SuperWASP
4188,WASP-38 b,446,3.44 Jupiters,9.447,2010,Gas Giant,3.44 Jupiters,1.23 x Jupiter,0.07522 AU,6.9 days,0.03,WASP-37,Transit,-0.2,150,,0.12,0,1,0.05,,14-05-2014,SuperWASP
